system:index,DMC,EDDI,FFMC,NDMI_mean,NDVI_mean,ann_dewpoint,ann_humidity,ann_precip,ann_temp,bfi,crop_mode,fall_frost_days,fire_frequency,first_fall_frost,frost_days,fuel_load,growing_season_days,heat_index,lai,last_spring_frost,pct_tree_cover,slope_deg,soil_organic_C,soil_pH,soil_quality_index,soil_texture,spring_frost_days,topo_index,wind_chill,.geo
"-276,3366",69.49531882198274,0.15424658358097076,67.99875848458811,0.07177987694740295,0.48901841044425964,280.61749267578125,61.74856806814522,0.07530637085437775,287.87591552734375,0.05083500477040288,1,1.0,1.0,323.0,65.0,0.0,263.0,63.575021885125444,0.24380000000000002,60.0,0.0,0.34238874912261963,2.0,68.0,8.0,7.0,2.0,0.6010856937985845,14.930774247791671,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-273,3366",69.49531882198274,0.13835616409778595,67.99875848458811,0.10444346815347672,0.5490283966064453,280.61749267578125,61.74856806814522,0.07530637085437775,287.87591552734375,0.05083500477040288,24,1.0,,323.0,65.0,0.9098039215686274,263.0,63.575021885125444,0.24380000000000002,60.0,0.9098039215686274,0.09379325062036514,2.0,69.0,8.0,7.0,2.0,0.01811829833188255,14.930774247791671,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-272,3366",69.49531882198274,0.13835616409778595,67.99875848458811,0.10529397428035736,0.5599918365478516,280.61749267578125,61.74856806814522,0.07530637085437775,287.87591552734375,0.05083500477040288,24,1.0,,323.0,65.0,0.9098039215686274,263.0,63.575021885125444,0.24380000000000002,60.0,0.9098039215686274,0.07373515516519547,3.0,69.0,8.5,7.0,2.0,0.146318711036901,14.930774247791671,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-266,3366",69.49531882198274,0.13972602784633636,67.99875848458811,0.04656386747956276,0.4207247793674469,280.61749267578125,61.74856806814522,0.07530637085437775,287.87591552734375,0.05083500477040288,1,1.0,,323.0,67.0,0.27058823529411763,263.0,63.575021885125444,0.24380000000000002,60.0,0.27058823529411763,0.15845409035682678,2.0,71.0,8.0,7.0,2.0,0.009891579628744124,14.930774247791671,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-262,3366",69.49531882198274,0.13972602784633636,67.99875848458811,0.07108878344297409,0.48427942395210266,280.61749267578125,61.74856806814522,0.07530637085437775,287.87591552734375,0.05083500477040288,24,1.0,,323.0,67.0,0.0,263.0,63.575021885125444,0.24380000000000002,60.0,0.0,0.09379325062036514,2.0,69.0,8.0,7.0,2.0,0.1834750543702935,14.930774247791671,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-258,3366",71.76141705472816,0.14931507408618927,68.23229651602631,0.0544133186340332,0.44375666975975037,280.73382568359375,62.21009081157174,0.07780902832746506,287.8836975097656,0.05083500477040288,5,1.0,1.0,323.0,67.0,0.0,263.0,63.49888720287625,0.24380000000000002,60.0,0.0,0.1373974084854126,2.0,71.0,8.0,7.0,2.0,8.470445452390398E-4,14.93229068136364,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-254,3366",71.76141705472816,0.14931507408618927,68.23229651602631,0.09691891074180603,0.5546454787254333,280.73382568359375,62.21009081157174,0.07780902832746506,287.8836975097656,0.05083500477040288,24,1.0,1.0,323.0,67.0,4.639215686274509,263.0,63.49888720287625,0.24380000000000002,60.0,4.639215686274509,0.4424293637275696,2.0,70.0,8.0,7.0,2.0,0.8779488438108125,14.93229068136364,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-253,3366",71.76141705472816,0.14931507408618927,68.23229651602631,0.10266505926847458,0.5670199394226074,280.73382568359375,62.21009081157174,0.07780902832746506,287.8836975097656,0.05083500477040288,24,1.0,,323.0,67.0,4.639215686274509,263.0,63.49888720287625,0.24380000000000002,60.0,4.639215686274509,0.37322235107421875,3.0,69.0,7.6000000000000005,7.0,2.0,0.07990283529533143,14.93229068136364,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-252,3366",71.76141705472816,0.15424658358097076,68.23229651602631,0.0991649478673935,0.5546327233314514,280.73382568359375,62.21009081157174,0.07780902832746506,287.8836975097656,0.05083500477040288,24,1.0,,323.0,67.0,0.9098039215686274,263.0,63.49888720287625,0.24380000000000002,60.0,0.9098039215686274,0.15846244990825653,2.0,70.0,8.0,7.0,2.0,0.038324988833801386,14.93229068136364,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-251,3366",71.76141705472816,0.15424658358097076,68.23229651602631,0.0908452570438385,0.5196003913879395,280.73382568359375,62.21009081157174,0.07780902832746506,287.8836975097656,0.05083500477040288,24,1.0,,323.0,67.0,0.09019607843137255,263.0,63.49888720287625,0.24380000000000002,60.0,0.09019607843137255,0.30059826374053955,2.0,71.0,8.0,7.0,2.0,0.38943637348191434,14.93229068136364,"{""type"":""MultiPoint"",""coordinates"":[]}"
