system:index,DMC,EDDI,FFMC,NDMI_mean,NDVI_mean,ann_dewpoint,ann_humidity,ann_precip,ann_temp,bfi,crop_mode,fall_frost_days,first_fall_frost,frost_days,fuel_load,growing_season_days,heat_index,lai,last_spring_frost,pct_tree_cover,slope_deg,soil_organic_C,soil_pH,soil_quality_index,soil_texture,spring_frost_days,topo_index,wind_chill,.geo
"-538,3412",57.3772305012734,0.242083340883255,65.85911167044594,0.016054609790444374,0.3664040267467499,278.79248046875,58.03421189956115,0.062378764152526855,286.8935852050781,0.05227506712519875,4,7.0,324.0,72.0,0.0,264.0,65.43844789130063,0.24380000000000002,60.0,0.0,0.4696665406227112,2.0,72.0,8.0,7.0,7.0,0.11048621002443783,13.748741291277247,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-535,3412",57.3772305012734,0.242083340883255,65.85911167044594,0.01139767561107874,0.3873023986816406,278.79248046875,58.03421189956115,0.062378764152526855,286.8935852050781,0.05227506712519875,24,7.0,324.0,72.0,0.0,264.0,65.43844789130063,0.24380000000000002,60.0,0.0,0.2502247095108032,2.0,73.0,8.0,7.0,7.0,0.19860535905013085,13.748741291277247,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-570,3413",56.43483057019312,0.23666666448116302,65.69021995147028,0.010570578277111053,0.3689781129360199,278.730224609375,57.877834497226765,0.061354804784059525,286.86865234375,0.05227506712519875,4,7.0,324.0,73.0,0.0,264.0,65.48978938620475,0.24380000000000002,60.0,0.0,0.35557204484939575,1.0,73.0,6.6000000000000005,7.0,9.0,0.022888250373868536,13.731584233974502,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-569,3413",56.43483057019312,0.23055554926395416,65.69021995147028,0.01341543160378933,0.40254703164100647,278.730224609375,57.877834497226765,0.061354804784059525,286.86865234375,0.05227506712519875,24,7.0,324.0,73.0,0.0,264.0,65.48978938620475,0.24380000000000002,60.0,0.0,0.29911482334136963,2.0,71.0,7.1000000000000005,7.0,9.0,0.09312526833428775,13.731584233974502,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-556,3413",57.3772305012734,0.2281944453716278,65.85911167044594,0.029983168467879295,0.3744302988052368,278.79248046875,58.03421189956115,0.062378764152526855,286.8935852050781,0.05227506712519875,4,7.0,324.0,73.0,0.0,264.0,65.43844789130063,0.24380000000000002,60.0,0.0,0.43185916543006897,2.0,72.0,7.1000000000000005,7.0,9.0,0.6488443205492561,13.748741291277247,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-547,3413",57.3772305012734,0.2418055534362793,65.85911167044594,0.038904592394828796,0.4356420338153839,278.79248046875,58.03421189956115,0.062378764152526855,286.8935852050781,0.05227506712519875,24,7.0,324.0,73.0,0.0,264.0,65.43844789130063,0.24380000000000002,60.0,0.0,0.7369824647903442,3.0,72.0,7.6000000000000005,7.0,9.0,0.9213075731725963,13.748741291277247,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-546,3413",57.3772305012734,0.2418055534362793,65.85911167044594,0.035205185413360596,0.4156842529773712,278.79248046875,58.03421189956115,0.062378764152526855,286.8935852050781,0.05227506712519875,24,7.0,324.0,73.0,0.0,264.0,65.43844789130063,0.24380000000000002,60.0,0.0,1.09231698513031,2.0,73.0,7.8,8.0,9.0,0.39848536869878526,13.748741291277247,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-544,3413",57.3772305012734,0.2418055534362793,65.85911167044594,0.039981745183467865,0.4078406095504761,278.79248046875,58.03421189956115,0.062378764152526855,286.8935852050781,0.05227506712519875,4,7.0,324.0,73.0,2.0,264.0,65.43844789130063,0.24380000000000002,60.0,2.0,0.28983843326568604,3.0,71.0,8.5,7.0,9.0,0.11638170447788218,13.748741291277247,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-543,3413",57.3772305012734,0.2418055534362793,65.85911167044594,0.049876242876052856,0.4228500425815582,278.79248046875,58.03421189956115,0.062378764152526855,286.8935852050781,0.05227506712519875,4,7.0,324.0,73.0,2.0,264.0,65.43844789130063,0.24380000000000002,60.0,2.0,0.3175952434539795,2.0,70.0,8.0,7.0,9.0,0.2806939032134637,13.748741291277247,"{""type"":""MultiPoint"",""coordinates"":[]}"
"-542,3413",57.3772305012734,0.2418055534362793,65.85911167044594,0.04881442338228226,0.40436699986457825,278.79248046875,58.03421189956115,0.062378764152526855,286.8935852050781,0.05227506712519875,4,7.0,324.0,73.0,2.0,264.0,65.43844789130063,0.24380000000000002,60.0,2.0,0.24336901307106018,2.0,71.0,8.0,7.0,9.0,0.00687178598421585,13.748741291277247,"{""type"":""MultiPoint"",""coordinates"":[]}"
